// game list translation template for FB Alpha version 0x029737

// codepage=936


8ballact	抢8撞球(大金刚转换版)
bagman	收赃人
choplift	救援直升机(8751315-5151)
ckong	疯狂大金刚II(第1套)
dockman	码头工人
f1dream	一级方程式梦语
hachamf	糊涂飞行员(19thSep.1991)
hero	英雄
hunchbak	驼背骑士(第1套)
huncholy	驼背骑士运动会
maniacsq	疯狂方块(未保护版)
mwalk	迈克尔·杰克逊的月球漫步(第3套,世界版,FD1094/8751317-0159)
phoenix	火凤凰(Amstar)
sg1k_magtree	魔法树(台湾版)
tg_ghostman	幽灵庄园
thepit	地底寻宝
88games	科乐美运动会'88
99lstwar	'99-最后一战
99lstwara	'99-最后一战(替换版)
99lstwark	'99-最后一战(Kyugo)
sg1k_jb007a	詹姆士邦007(日版,v2.6,OMV)
sg1k_jb007	詹姆士邦007(日版,v2.7,OMV)
sg1k_jb007t	詹姆士邦007(台湾版)
gtmra	1000英里大师赛车(94/06/13)
gtmr	1000英里大师赛车(94/07/18)
md_12in1	12合1
md_13mahjan	13张麻将-98美少女篇(中文版)
md_16tongnk	世嘉频道(日版,罐装MegaCD游戏Rip)
md_16ton	世嘉频道(日版,世嘉网络)
md_16zhan	十六张麻将(中文版)
sgx_1941	1941-反击战
1941u	1941-反击战(900227美版)
1941	1941-反击战(900227世界版)
1941j	1941-反击战(日版)
1941r1	1941-反击战(世界版)
1942b	1942-空中大战(第一版)
1942a	1942-空中大战(修正版A)
1942abl	1942-空中大战(修正版A,盗版)
1942	1942-空中大战(修正版B)
1942w	1942-空中大战(WilliamsElectronics授权)
pce_1943kai	1943改
1943kai	1943改-中途岛海战(日版)
1943ja	1943-中途岛海战(日版)
1943j	1943-中途岛海战(日版,修正版B)
1943b	1943-中途岛海战(盗版第1套,日版修改版)
1943b2	1943-中途岛海战(盗版第2套,日版修改版)
1943	1943-中途岛海战(欧版)
1943ja2	1943-中途岛海战(日版修改版)
1943u	1943-中途岛海战(美版)
1944j	1944-征服世界(000620日版)
1944d	1944-征服世界(000620美版凤凰版)
1944ad	1944-征服世界(000620美版凤凰版,替换版)
1944	1944-征服世界(000620美版)
bgareggabl	1945二代(空战之路中文修改版)
1945kiii	1945kIII
19xxar1	19XX-命运否决战(951207亚洲版)
19xxjr2	19XX-命运否决战(951207日版)
19xxd	19XX-命运否决战(951207美版)
19xx	19XX-命运否决战(951207美版)
19xxb	19XX-命运否决战(951218巴西版)
19xxh	19XX-命运否决战(951218西班牙版)
19xxjr1	19XX-命运否决战(951225日版)
19xxa	19XX-命运否决战(960104亚洲版)
19xxj	19XX-命运否决战(960104日版,黄色外壳)
md_2psymmac	2合1-心理弹珠台&微型机车(欧版)
cv_2010	2010-图形行动赛
cv_2010p1	2010-图形行动赛(工程版v44)
cv_2010p	2010-图形行动赛(工程版v54)
2020bb	2020超级棒球(第1套)
2020bba	2020超级棒球(第2套)
2020bbh	2020超级棒球(第3套)
md_2020bbj	超级棒球2020(日版)
pce_21emon	21卫门-目标酒店大亨!!
3countba	三回合较量/火线摔角(NGM-043)
3countb	三回合较量/火线摔角(NGM-043)(NGH-043)
md_3in1fwt	3合1回到原点-世界足球锦标赛-Tecmo世界杯92(海盗版)
md_3in1rmb	3合1暴力摩托-吃豆女精灵-立体方块(海盗版)
md_3ninja	忍杀三人组(美版)
4enraya	四连线(第1套)
4enrayaa	四连线(第2套)
4in1	欢乐四合一
md_4in1pb	4合1(海盗版)
sms_4pak	动作游戏4合1(澳洲版)
4play	4人游戏输入测试
4dwarrio	4-D勇士(315-5162)
1942h	42(Screamware盗版,修改版)
gg_5in1fun	5合1(美版)
md_6pak	6合1(美版)
600	乌龟冒险600
64streetj	64街-一个侦探的故事(日版)
64street	64街-一个侦探的故事(世界版)
md_688atsub	猎杀潜艇(欧版,美版)
7ordi	7张牌(韩版)
800fath	海底潜航-800海里
sms_94swc	94超级世界杯足球赛(韩版)
md_bugslife	虫虫危机
md_bugslifea	虫虫危机(替换版?)
md_dinotale	恐龙传说(美版)
md_aresshmd	A列车MD(日版)
abcopjd	宇宙骑警(日版,FD1094317-0169b解密版)
abcopj	宇宙骑警(日版,FD1094317-0169b)
abcopd	宇宙骑警(世界版,FD1094317-0169b解密版)
abcop	宇宙骑警(世界版,FD1094317-0169b)
ad2083	太空核战2083
gg_aaharima	播磨滩相扑(日版)
md_aaharima	播磨滩相扑(日版)
md_aaahhrm	怪物三人行(欧版)
md_aaahhrmu	怪物三人行(美版)
abscam	食鬼先生
aceattac	王牌攻击(FD1094317-0059)
aceattaca	王牌攻击(日版,系统16A,FD1094317-0060)
sms_aceoface	王中王(欧版)
acrobatm	风云战机
actfancrj	战斗机器(日版修正版1)
actfancr1	战斗机器(世界版修正版1)
actfancr	战斗机器(世界版修正版2)
md_action52	动作52合1(美版)
md_action52a	动作52合1(美版,替换版)
sms_actionfg1	战斗任务(欧版,日版,v1)
sms_actionfg	战斗任务(欧版,美版,巴西版,v2)
afighter	战斗任务(FD1089A317-0018)
md_ar	金手指(欧版)
md_addfamv	阿达姆斯家庭(欧版)
md_advdaisn	大战略-德意志电击作战(日版,修正版A)
sms_herolanc	高级龙与地下城-长枪英雄(欧版,巴西版)
pce_advislnd	冒险岛
hatena	卡普空冒险问答2-问号大冒险(日版900228)
cworld2j	冒险问答卡普空世界2(920611日版)
cworld2ja	冒险问答卡普空世界2(日版920611,B-Board90629B-3,无电池)
cworld2jb	冒险问答卡普空世界2(日版920611,B-Board91634B-2)
md_adveboy	冒险小子(中文版)
sms_aerialas	空袭(欧版,巴西版)
gg_aerialasj	空袭(日版,v1)
sms_aerialasu	空袭(美版)
gg_aerialas	空袭(世界版,v0)
pce_aeroblst	疾风战机
tg_aeroblst	疾风战机
md_aeroblst	疾风战机(日版)
aerofgt	四国战机
aerofgtb	四国战机(涡轮力量硬件第1套)
aerofgtc	四国战机(涡轮力量硬件第2套)
sonicwi2	四国战机2/音速战机2
sonicwi3	四国战机3/音速战机3
md_aero	飞翔蝙蝠(欧版)
md_aerop	飞翔蝙蝠(工程版)
md_aerou	飞翔蝙蝠(美版)
md_aero2	飞翔蝙蝠2(欧版)
md_aero2u	飞翔蝙蝠2(美版)
md_aerobiz	航空霸业(美版)
md_aerobizs	航空霸业-超音速版(美版)
aburner	冲破火网
sms_aburner	冲破火网(世界版)
pce_aburner2	冲破火网II
aburner2	冲破火网II
md_aburner2	冲破火网II(欧版,美版)
aburner2g	冲破火网II(德国版)
md_aburner2j	冲破火网II(日版)
superbon	超级庞德(Scobra硬件)
aodk	痛快GANGAN进行曲(ADM-008)(ADH-008)
sms_agidooly	小恐龙杜利(韩版)
agress	阿古雷司-导弹大战略
agressb	阿古雷司-导弹大战略(英文盗版)
koshien	呜呼荣光甲子园(日版)
airass	空袭(世界版)
airattck	空袭(第1套)
airattcka	空袭(第2套)
airbustrb	疾风战机-特别袭击队(盗版)
airbustrj	疾风战机-特别袭击队(日版)
md_airbustr	疾风战机-特别袭击队(美版)
airbustr	疾风战机-特别袭击队(世界版)
md_airdiverj	空中霸王(日版)
md_airdiver	空中霸王(美版)
airduelm72	空战双鹰(日版,M72)
airduel	空战双鹰(世界版,M82-A-A+M82-B-A)
agallet	石破天惊(欧版)
agalleth	石破天惊(香港版)
agalletj	石破天惊(日版)
agalletk	石破天惊(韩版)
agallett	石破天惊(台湾版)
agalletu	石破天惊(美版)
md_airmanag	航空霸业-在天空翱翔(日版)
md_airmang2	航空霸业II-航空王(日版)
sms_airresc	空中援救(欧版,巴西版,韩版)
airwolf	飞狼
airwolfa	飞狼(美版)
ajax	飓风直升机
ajaxj	飓风直升机(日版)
akumajoun	恶魔城(日版版本N)
akumajou	恶魔城(日版版本P)
md_akumajo	恶魔城-吸血鬼猎人(日版)
md_aladdin2	阿拉丁II
cv_alcazar	阿尔卡扎-遗忘堡垒
alcon	爱尔康战机
sgx_aldynes	霹雳风云
sms_aleste	阿雷斯特战机(日版)
sms_alesteiigg2sms	阿雷斯特战机IIGG(SMS转换版)
md_alexkiddk	亚历克斯-天空魔城(韩版)
sms_alexhitw	亚历克斯-高科技世界(欧版,美版)
sms_alexlost	亚历克斯-失落的星星(世界版)
sms_alexbmx	亚历克斯自行车越野选拔赛(日版)
sms_alexkiddb	亚历克斯在奇异世界(巴西版,v1,海盗版)
sms_alexkidd1	亚历克斯在奇异世界(欧版,美版,v0)
sms_alexkidd	亚历克斯在奇异世界(欧版,美版,v1)
gg_alexkidd	亚历克斯在奇异世界(台湾版,SMS模式)
sms_akrr102e	亚历克斯之轰鸣的拉达仙(版本1.02e)
sms_alexshin	亚历克斯在忍者世界(欧版,美版,巴西版)
md_alexkidd1	亚历克斯在魔城(欧版)
md_alexkidd	亚历克斯在魔城(欧版,修正版A)
md_alexkiddj	亚历克斯在魔城(日版)
md_alexkiddu	亚历克斯在魔城(美版)
sms_alexkiddj	亚历克斯在奇异世界(日版)
alexkidd1	亚历克斯-失落的星星(第1套,FD1089A317-未知)
alexkidd	亚历克斯-失落的星星(第2套,未保护版)
sms_alf	家有阿福(美版,巴西版)
alibaba	阿里巴巴与四十大盗
sms_alibaba	阿里巴巴与四十大盗(韩版)
sms_alien3	异型3(欧版,巴西版)
gg_alien3	异形3(欧版,美版)
gg_alien3j	异形3(日版)
alienchac	星宿会战(中国版)
aliencha	星宿会战(世界版)
pce_acrush	异形弹珠台
tg_acrush	异形弹珠台
alinvade	外星侵略者
aliensec	异形区域
md_aliensol	外星战士(欧版)
md_aliensolj	外星战士(日版)
sms_astorm	异形风暴(欧版,巴西版)
astormjd	异形风暴(第1套,日版修正版B,2人版,FD1094317-0146解密版)
astormj	异形风暴(第1套,日版修正版B,2人版,FD1094317-0146)
astormud	异形风暴(第2套,美版,3人版,FD1094317-0147解密版)
astormu	异形风暴(第2套,美版,3人版,FD1094317-0147)
astorm3d	异形风暴(第3套,世界版,3人版,FD1094317-0148解密版)
astorm3	异形风暴(第3套,世界版,3人版,FD1094317-0148)
astorm	异形风暴(第4套,世界版,2人版,FD1094317-0154)
md_astorm	异形风暴(世界版)
gg_aliensyn	异形入侵(欧版,美版)
sms_aliensyn	异形入侵(欧版,美版,巴西版)
sms_aliensynj	异形入侵(日版)
gg_aliensynj	异形入侵(日版)
sms_aliensynp	异形入侵(工程版)
aliensynjo	异形入侵(第1套,日版,旧版,系统16A,FD1089A317-0033)
aliensyn2	异形入侵(第2套,系统16A,FD1089A317-0033)
aliensyn3	异形入侵(第3套,系统16B,FD1089A317-0033)
aliensyn	异形入侵(第4套,系统16B,未保护版)
aliensyn5	异形入侵(第5套,系统16A,FD1089B317-0037)
aliensynj	异形入侵(第6套,日版,新版,系统16B,FD1089A317-0033)
aliensyn7	异形入侵(第7套,系统16B,MC-8123B317-00xx)
avspa	异形对铁血战士(940520亚洲版)
avspd	异形对铁血战士(940520欧版凤凰版)
avsp	异形对铁血战士(940520欧版)
avsph	异形对铁血战士(940520西班牙版)
avspj	异形对铁血战士(940520日版)
avspu	异形对铁血战士(940520美版)
md_alien3a	异形3(欧版,美版)
md_alien3	异形3(欧版,美版,修正版A)
aliensa	异形(亚洲版)
aliensj	异形(日版第1套)
aliensj2	异形(日版第2套)
aliensu	异形(美版)
aliens	异形(世界版第1套)
aliens2	异形(世界版第2套)
aliens3	异形(世界版第3套)
md_alisiad	龙骑士(欧版)
